target_period_ns,target_freq_mhz,wns_ns,worst_slack,period_min_ns,fmax_mhz,total_power_w,total_power_mw,status,run_dir
7.0,142.85714285714286,4.1808,4.18,2.82,354.71,0.000724,0.7240000000000001,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_7
6.5,153.84615384615384,3.6434,3.64,2.86,350.07,0.000796,0.796,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_6p5
6.0,166.66666666666666,3.1867,3.19,2.81,355.46,0.000841,0.841,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_6
5.5,181.8181818181818,2.676,2.68,2.82,354.11,0.000922,0.9219999999999999,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_5p5
5.0,200.0,2.1634,2.16,2.84,352.54,0.00102,1.02,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_5
4.5,222.22222222222223,1.6588,1.66,2.84,351.96,0.00114,1.14,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_4p5
4.0,250.0,1.3414,1.34,2.66,376.14,0.00129,1.2899999999999998,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_4
3.5,285.7142857142857,0.8981,0.9,2.6,384.34,0.0014,1.4,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_3p5
3.0,333.3333333333333,0.5829,0.58,2.42,413.72,0.00166,1.66,PASS,C:\Users\kyash\spec2rtl_agent\separate_p7_fullflow_run2\fixed_rtl_sweep\runs\period_3
